step,train_loss,learning_rate
208,0.2112,2.769924163347073e-05
209,0.2254,2.6877332603030658e-05
210,0.2511,2.6065904963574904e-05
211,0.3007,2.526507502500636e-05
212,0.2255,2.4474957578155245e-05
213,0.2011,2.3695665878324992e-05
214,0.2421,2.2927311629058234e-05
215,0.1842,2.2170004966125336e-05
216,0.233,2.142385444173739e-05
217,0.2517,2.0688967008986492e-05
218,0.2122,1.9965448006514986e-05
219,0.2389,1.9253401143416438e-05
220,0.2422,1.855292848436977e-05
221,0.2827,1.786413043500942e-05
222,0.2343,1.7187105727533248e-05
223,0.2453,1.6521951406550205e-05
224,0.2536,1.586876281517009e-05
225,0.2645,1.5227633581336953e-05
226,0.251,1.459865560440855e-05
227,0.2213,1.3981919041983482e-05
228,0.2652,1.3377512296978035e-05
229,0.2324,1.2785522004954553e-05
230,0.243,1.2206033021703034e-05
231,0.2343,1.1639128411077971e-05
232,0.2139,1.108488943309195e-05
233,0.2528,1.0543395532267941e-05
234,0.2482,1.0014724326251623e-05
235,0.2165,9.498951594685757e-06
236,0.2303,8.996151268347886e-06
237,0.1757,8.506395418553193e-06
238,0.2461,8.029754246823717e-06
239,0.2756,7.566296074825785e-06
240,0.2548,7.116087334576671e-06
241,0.2233,6.6791925589223425e-06
242,0.2341,6.255674372287279e-06
243,0.2018,5.8455934816979305e-06
244,0.2376,5.449008668080946e-06
245,0.2166,5.065976777837567e-06
246,0.2163,4.696552714695224e-06
247,0.2837,4.340789431837711e-06
248,0.2749,3.998737924314832e-06
249,0.2083,3.670447221732787e-06
250,0.2242,3.355964381226262e-06
251,0.2211,3.0553344807133567e-06
252,0.2193,2.7686006124340025e-06
253,0.2627,2.495803876773195e-06
254,0.2361,2.23698337636965e-06
255,0.2164,1.992176210510843e-06
256,0.2168,1.7614174698152408e-06
257,0.2184,1.5447402312023574e-06
258,0.2241,1.3421755531515257e-06
259,0.2235,1.1537524712500136e-06
260,0.2306,9.794979940310533e-07
261,0.2332,8.19437099102427e-07
262,0.2785,6.735927295662082e-07
263,0.22,5.419857907300486e-07
264,0.273,4.2463514711068576e-07
265,0.1825,3.2155761972987306e-07
266,0.2287,2.327679837032304e-07
267,0.2374,1.58278966122416e-07
268,0.2678,9.810124423083045e-08
269,0.2646,5.2243443893118527e-08
270,0.2593,2.071213835874719e-08
271,0.2742,3.5118473198259005e-09
