step,train_loss,learning_rate
0,3.2399,1.8e-05
1,2.3234,3.8e-05
2,2.0875,5.8e-05
3,1.3111,7.800000000000001e-05
4,1.08,9.8e-05
5,1.0832,0.000118
6,1.0361,0.000138
7,1.3377,0.00015600000000000002
8,0.8415,0.00017600000000000002
9,0.947,0.000196
10,0.9308,0.00019999960869990444
11,0.7922,0.0001999980190485146
12,0.5879,0.00019999520660899802
13,0.9594,0.00019999117141574553
14,0.5348,0.00019998591351810002
15,0.7562,0.00019997943298035567
16,0.7205,0.0001999717298817573
17,0.8417,0.00019996280431649934
18,0.683,0.00019995265639372476
19,0.6674,0.00019994128623752357
20,0.5316,0.00019992869398693147
21,0.7654,0.000199914879795928
22,0.584,0.00019989984383343484
23,0.6251,0.0001998835862833136
24,0.7766,0.00019986610734436358
25,0.5364,0.00019984740723031944
26,0.693,0.0001998274861698485
27,0.8334,0.00019980634440654784
28,0.8789,0.00019978398219894168
29,0.5226,0.00019976039982047778
30,0.4619,0.0001997355975595244
31,0.6963,0.0001997095757193667
32,0.5611,0.00019968233461820282
33,0.4786,0.00019965387458914044
34,0.4209,0.00019962419598019225
35,0.6428,0.000199593299154272
36,0.4925,0.00019956118448918978
37,0.5067,0.0001995278523776478
38,0.5103,0.00019949330322723517
39,0.5647,0.00019945753746042322
40,0.6194,0.00019942055551456012
41,0.4043,0.00019938235784186566
42,0.8277,0.00019934294490942575
43,0.6513,0.00019930231719918654
44,0.5019,0.00019926047520794872
45,0.5685,0.00019921741944736135
46,0.7182,0.00019917315044391557
47,0.5101,0.00019912766873893815
48,0.371,0.0001990809748885851
49,0.5191,0.00019903306946383452
50,0.4051,0.0001989839530504799
51,0.5793,0.0001989336262491228
52,0.6118,0.00019888208967516557
53,0.4436,0.00019882934395880377
54,0.4933,0.00019877538974501856
55,0.4409,0.00019872022769356872
56,0.7192,0.00019866385847898264
57,0.5501,0.00019860628279055
58,0.5234,0.00019854750133231348
59,0.4872,0.00019848751482305995
60,0.4193,0.00019842632399631193
61,0.4482,0.00019836392960031836
62,0.4882,0.0001983003323980456
63,0.4035,0.00019823553316716813
64,0.4689,0.00019816953270005897
65,0.5832,0.00019810233180377992
66,0.4797,0.00019803393130007186
67,0.5313,0.00019796433202534463
68,0.4023,0.00019789353483066672
69,0.3745,0.000197821540581755
70,0.5162,0.000197748350158964
71,0.5002,0.0001976739644572753
72,0.5308,0.0001975983843862864
73,0.4685,0.00019752161087019973
74,0.3977,0.0001974436448478114
75,0.4405,0.00019736448727249948
76,0.3838,0.0001972922274766778
77,0.422,0.00019721080862954252
78,0.4003,0.00019712820107663367
79,0.3869,0.0001970444058280867
80,0.4442,0.0001969594239085602
81,0.5827,0.00019687325635722359
82,0.4329,0.00019678590422774435
83,0.5191,0.00019669736858827505
84,0.4327,0.00019660765052144052
85,0.3053,0.00019651675112432427
86,0.4423,0.0001964246715084554
87,0.4694,0.00019633141279979478
88,0.5057,0.0001962369761387215
89,0.4327,0.00019614136268001863
90,0.3684,0.00019604457359285942
91,0.4655,0.00019594661006079272
92,0.6595,0.00019584747328172872
93,0.3483,0.0001957471644679242
94,0.3631,0.00019564568484596777
95,0.3093,0.0001955430356567647
96,0.4977,0.00019543921815552202
97,0.3626,0.00019533423361173287
98,0.3539,0.00019522808330916134
99,0.365,0.00019512076854582636
100,0.3775,0.00019501229063398608
101,0.4257,0.00019490265090012189
102,0.4892,0.00019479185068492196
103,0.3816,0.00019467989134326497
104,0.3158,0.00019456677424420363
105,0.4486,0.00019445250077094773
106,0.4254,0.0001943370723208475
107,0.3961,0.00019422049030537618
108,0.3332,0.00019410275615011318
109,0.5423,0.00019398387129472618
110,0.6165,0.00019386383719295394
111,0.4165,0.00019374265531258824
112,0.4015,0.0001936203271354561
113,0.3451,0.0001934968541574016
